# weight[i] (1/Å)  momenta[i] (1/Å)  momenta[j] (1/Å)  v_0[i, j] (K•Å^3)  v_1[i, j] (K•Å^3)
4.52684131e-04  3.99209215e-04  2.11714584e-02  -4.56105568e+01  8.34847761e-04
4.52684131e-04  3.99209215e-04  2.46508616e-02  -4.55644965e+01  1.13169511e-03
4.52684131e-04  3.99209215e-04  2.84018493e-02  -4.55073900e+01  1.50220907e-03
4.52684131e-04  3.99209215e-04  3.24263883e-02  -4.54376922e+01  1.95800738e-03
4.52684131e-04  3.99209215e-04  3.67265850e-02  -4.53537968e+01  2.51167676e-03
4.52684131e-04  3.99209215e-04  4.13046861e-02  -4.52540434e+01  3.17680497e-03
4.52684131e-04  3.99209215e-04  4.61630789e-02  -4.51367217e+01  3.96801525e-03
4.52684131e-04  3.99209215e-04  5.13042916e-02  -4.50000739e+01  4.90100314e-03
4.52684131e-04  3.99209215e-04  5.67309936e-02  -4.48422952e+01  5.99257576e-03
4.52684131e-04  3.99209215e-04  6.24459958e-02  -4.46615364e+01  7.26069357e-03
4.52684131e-04  3.99209215e-04  6.84522510e-02  -4.44559115e+01  8.72451461e-03
4.52684131e-04  3.99209215e-04  7.47528545e-02  -4.42235109e+01  1.04044413e-02
4.52684131e-04  3.99209215e-04  8.13510438e-02  -4.39624229e+01  1.23221695e-02
4.52684131e-04  3.99209215e-04  8.82501993e-02  -4.36707570e+01  1.45007404e-02
4.52684131e-04  3.99209215e-04  9.54538446e-02  -4.33466659e+01  1.69645942e-02
4.52684131e-04  3.99209215e-04  1.02965647e-01  -4.29883590e+01  1.97396262e-02
4.52684131e-04  3.99209215e-04  1.10789416e-01  -4.25941063e+01  2.28532441e-02
4.52684131e-04  3.99209215e-04  1.18929106e-01  -4.21622365e+01  2.63344267e-02
4.52684131e-04  3.99209215e-04  1.27388816e-01  -4.16911404e+01  3.02137825e-02
4.52684131e-04  3.99209215e-04  1.36172786e-01  -4.11792864e+01  3.45236065e-02
4.52684131e-04  3.99209215e-04  1.45285403e-01  -4.06252478e+01  3.92979347e-02
4.52684131e-04  3.99209215e-04  1.54731196e-01  -4.00277318e+01  4.45725911e-02
4.52684131e-04  3.99209215e-04  1.64514838e-01  -3.93855936e+01  5.03852249e-02
4.52684131e-04  3.99209215e-04  1.74641147e-01  -3.86978321e+01  5.67753318e-02
4.52684131e-04  3.99209215e-04  1.85115081e-01  -3.79635820e+01  6.37842505e-02
4.52684131e-04  3.99209215e-04  1.95941744e-01  -3.71821210e+01  7.14551241e-02
4.52684131e-04  3.99209215e-04  2.07126381e-01  -3.63528958e+01  7.98328117e-02
4.52684131e-04  3.99209215e-04  2.18674379e-01  -3.54755449e+01  8.89637281e-02
4.52684131e-04  3.99209215e-04  2.30591266e-01  -3.45498967e+01  9.88955858e-02
4.52684131e-04  3.99209215e-04  2.42882711e-01  -3.35759491e+01  1.09677001e-01
4.52684131e-04  3.99209215e-04  2.55554521e-01  -3.25538681e+01  1.21356917e-01
4.52684131e-04  3.99209215e-04  2.68612641e-01  -3.14840122e+01  1.33983773e-01
4.52684131e-04  3.99209215e-04  2.82063156e-01  -3.03669524e+01  1.47604350e-01
4.52684131e-04  3.99209215e-04  2.95912282e-01  -2.92034625e+01  1.62262164e-01
4.52684131e-04  3.99209215e-04  3.10166373e-01  -2.79945105e+01  1.77995284e-01
4.52684131e-04  3.99209215e-04  3.24831913e-01  -2.67412938e+01  1.94833400e-01
4.52684131e-04  3.99209215e-04  3.39915516e-01  -2.54452931e+01  2.12793903e-01
4.52684131e-04  3.99209215e-04  3.55423925e-01  -2.41083020e+01  2.31876753e-01
4.52684131e-04  3.99209215e-04  3.71364009e-01  -2.27324722e+01  2.52057780e-01
4.52684131e-04  3.99209215e-04  3.87742758e-01  -2.13204276e+01  2.73280115e-01
4.52684131e-04  3.99209215e-04  4.04567283e-01  -1.98754030e+01  2.95443345e-01
4.52684131e-04  3.99209215e-04  4.21844814e-01  -1.84013799e+01  3.18390073e-01
4.52684131e-04  3.99209215e-04  4.39582692e-01  -1.69032890e+01  3.41889613e-01
4.52684131e-04  3.99209215e-04  4.57788368e-01  -1.53872875e+01  3.65618807e-01
4.52684131e-04  3.99209215e-04  4.76469401e-01  -1.38610326e+01  3.89140353e-01
4.52684131e-04  3.99209215e-04  4.95633450e-01  -1.23339873e+01  4.11879742e-01
4.52684131e-04  3.99209215e-04  5.15288272e-01  -1.08177725e+01  4.33103042e-01
4.52684131e-04  3.99209215e-04  5.35441716e-01  -9.32643920e+00  4.51899372e-01
4.52684131e-04  3.99209215e-04  5.56101718e-01  -7.87663322e+00  4.67174122e-01
4.52684131e-04  3.99209215e-04  5.77276294e-01  -6.48759581e+00  4.77661629e-01
4.52684131e-04  3.99209215e-04  5.98973539e-01  -5.18079398e+00  4.81968785e-01
4.52684131e-04  3.99209215e-04  6.21201613e-01  -3.97910393e+00  4.78662935e-01
4.52684131e-04  3.99209215e-04  6.43968741e-01  -2.90541277e+00  4.66416753e-01
4.52684131e-04  3.99209215e-04  6.67283202e-01  -1.98052266e+00  4.44216995e-01
4.52684131e-04  3.99209215e-04  6.91153323e-01  -1.22049065e+00  4.11629985e-01
4.52684131e-04  3.99209215e-04  7.15587470e-01  -6.33632914e-01  3.69092004e-01
4.52684131e-04  3.99209215e-04  7.40594041e-01  -2.17793903e-01  3.18158688e-01
4.52684131e-04  3.99209215e-04  7.66181457e-01  4.12829280e-02  2.61612804e-01
4.52684131e-04  3.99209215e-04  7.92358148e-01  1.69573549e-01  2.03314432e-01
4.52684131e-04  3.99209215e-04  8.19132550e-01  2.01718799e-01  1.47710634e-01
4.52684131e-04  3.99209215e-04  8.46513092e-01  1.75470988e-01  9.90269666e-02
4.52684131e-04  3.99209215e-04  8.74508182e-01  1.24911407e-01  6.03297022e-02
4.52684131e-04  3.99209215e-04  9.03126201e-01  7.46865848e-02  3.28007459e-02
4.52684131e-04  3.99209215e-04  9.32375486e-01  3.74780388e-02  1.55794104e-02
4.52684131e-04  3.99209215e-04  9.62264322e-01  1.55661368e-02  6.30439527e-03
4.52684131e-04  3.99209215e-04  9.92800924e-01  5.23133178e-03  2.11045505e-03
4.52684131e-04  3.99209215e-04  1.02399343e+00  1.38037944e-03  5.64629361e-04
4.52684131e-04  3.99209215e-04  1.05584988e+00  2.75495041e-04  1.15949396e-04
4.52684131e-04  3.99209215e-04  1.08837820e+00  3.97563896e-05  1.74341526e-05
4.52684131e-04  3.99209215e-04  1.12158621e+00  3.93252391e-06  1.81658973e-06
4.52684131e-04  3.99209215e-04  1.15548156e+00  2.50380505e-07  1.23025232e-07
4.52684131e-04  3.99209215e-04  1.19007178e+00  9.53323594e-09  5.02611822e-09
4.52684131e-04  3.99209215e-04  1.22536418e+00  1.99224297e-10  1.13598418e-10
4.52684131e-04  3.99209215e-04  1.26136593e+00  2.06830220e-12  1.28474710e-12
4.52684131e-04  3.99209215e-04  1.29808395e+00  9.50294683e-15  6.47289725e-15
4.52684131e-04  3.99209215e-04  1.33552494e+00  1.69041322e-17  1.27020669e-17
4.52684131e-04  3.99209215e-04  1.37369538e+00  9.97555579e-21  8.31392778e-21
4.52684131e-04  3.99209215e-04  1.41260145e+00  1.63437620e-24  1.51805421e-24
4.52684131e-04  3.99209215e-04  1.45224905e+00  6.05646348e-29  6.29520575e-29
4.52684131e-04  3.99209215e-04  1.49264379e+00  4.01087721e-34  4.68118438e-34
4.52684131e-04  3.99209215e-04  1.53379093e+00  3.62271314e-40  4.75979318e-40
4.52684131e-04  3.99209215e-04  1.57569538e+00  3.27435302e-47  4.85095714e-47
4.52684131e-04  3.99209215e-04  1.61836169e+00  2.07815355e-55  3.47366408e-55
4.52684131e-04  3.99209215e-04  1.66179401e+00  6.17969830e-65  1.16479865e-64
4.52684131e-04  3.99209215e-04  1.70599606e+00  5.42705240e-76  1.15147108e-75
4.52684131e-04  3.99209215e-04  1.75097112e+00  8.32126082e-89  1.98134392e-88
4.52684131e-04  3.99209215e-04  1.79672201e+00  1.22525367e-103  3.25986495e-103
4.52684131e-04  3.99209215e-04  1.84325105e+00  8.78726824e-121  2.59793142e-120
4.52684131e-04  3.99209215e-04  1.89056004e+00  1.42160141e-140  4.63972210e-140
